               data_ora        rad  temperatura
2023-04-06 23:07:12.537  -6.619198        40.32
2023-04-06 23:07:12.745  -6.821030        40.32
2023-04-06 23:07:12.953  -6.518281        40.32
2023-04-06 23:07:13.162  -6.804211        40.32
2023-04-06 23:07:13.370  -6.821030        40.32
2023-04-06 23:07:13.578  -6.804211        40.32
2023-04-06 23:07:13.802  -6.551920        40.32
2023-04-06 23:07:14.010  -6.333268        40.32
2023-04-06 23:07:14.218  -6.400546        40.32
2023-04-06 23:07:14.411  -6.333268        40.32
2023-04-06 23:07:14.619  -6.198713        40.32
2023-04-06 23:07:14.832  -6.064158        40.32
2023-04-06 23:07:15.051  -6.097797        40.32
2023-04-06 23:07:15.259  -5.542757        40.32
2023-04-06 23:07:15.429  -5.324105        40.32
2023-04-06 23:07:15.628  -5.408202        40.32
2023-04-06 23:07:15.836  -5.240008        40.32
2023-04-06 23:07:16.044  -5.021356        40.32
2023-04-06 23:07:16.251  -5.122272        40.32
2023-04-06 23:07:16.461  -4.903620        40.32
2023-04-06 23:07:16.668  -4.836343        40.32
2023-04-06 23:07:16.876  -4.970898        40.32
2023-04-06 23:07:17.084  -5.038175        40.32
2023-04-06 23:07:17.293  -5.038175        40.32
2023-04-06 23:07:17.501  -4.987717        40.32
2023-04-06 23:07:17.710  -5.240008        40.32
2023-04-06 23:07:17.918  -5.357744        40.32
2023-04-06 23:07:18.126  -5.307286        40.32
2023-04-06 23:07:18.334  -5.525938        40.32
2023-04-06 23:07:18.543  -5.593215        40.32
2023-04-06 23:07:18.751  -5.879145        40.32
2023-04-06 23:07:18.968  -5.660493        40.32
2023-04-06 23:07:19.183  -5.879145        40.32
2023-04-06 23:07:19.350  -5.996880        40.32
2023-04-06 23:07:19.551  -5.694132        40.32
2023-04-06 23:07:19.760  -5.593215        40.32
2023-04-06 23:07:19.968  -5.509118        40.32
2023-04-06 23:07:20.175  -5.223189        40.32
2023-04-06 23:07:20.384  -5.189550        40.32
2023-04-06 23:07:20.592  -5.273647        40.32
2023-04-06 23:07:20.800  -5.374563        40.32
2023-04-06 23:07:21.009  -5.122272        40.32
2023-04-06 23:07:21.216  -5.542757        40.32
2023-04-06 23:07:21.440  -5.155911        40.32
2023-04-06 23:07:21.648  -5.324105        40.32
2023-04-06 23:07:21.839  -5.054995        40.32
2023-04-06 23:07:22.047  -5.290466        40.32
2023-04-06 23:07:22.257  -4.920440        40.32
2023-04-06 23:07:22.465  -4.970898        40.32
2023-04-06 23:07:22.674  -5.004537        40.35
2023-04-06 23:07:22.893  -4.684968        40.35
2023-04-06 23:07:23.106  -4.499955        40.32
2023-04-06 23:07:23.271  -4.449497        40.32
2023-04-06 23:07:23.473  -4.550413        40.32
2023-04-06 23:07:23.682  -4.533594        40.32
2023-04-06 23:07:23.890  -4.432678        40.32
2023-04-06 23:07:24.099  -4.062651        40.32
2023-04-06 23:07:24.307  -4.062651        40.32
2023-04-06 23:07:24.516  -3.726263        40.32
2023-04-06 23:07:24.724  -3.574889        40.32
2023-04-06 23:07:24.932  -3.440334        40.35
2023-04-06 23:07:25.137  -3.087127        40.35
2023-04-06 23:07:25.349  -2.868475        40.35
2023-04-06 23:07:25.556  -3.103946        40.35
2023-04-06 23:07:25.764  -3.053488        40.35
2023-04-06 23:07:25.972  -2.683461        40.35
2023-04-06 23:07:26.181  -3.019849        40.35
2023-04-06 23:07:26.390  -2.885294        40.35
2023-04-06 23:07:26.596  -2.548906        40.35
2023-04-06 23:07:26.811  -2.801197        40.35
2023-04-06 23:07:27.030  -2.952571        40.35
2023-04-06 23:07:27.190  -3.188043        40.35
2023-04-06 23:07:27.399  -3.473972        40.35
2023-04-06 23:07:27.606  -3.440334        40.35
2023-04-06 23:07:27.815  -3.373056        40.35
2023-04-06 23:07:28.023  -3.591708        40.35
2023-04-06 23:07:28.231  -3.574889        40.35
2023-04-06 23:07:28.440  -3.894457        40.35
2023-04-06 23:07:28.647  -3.928096        40.35
2023-04-06 23:07:28.852  -4.045832        40.35
2023-04-06 23:07:29.048  -4.012193        40.35
2023-04-06 23:07:29.268  -3.490792        40.35
2023-04-06 23:07:29.480  -4.045832        40.35
2023-04-06 23:07:29.689  -3.928096        40.35
2023-04-06 23:07:29.897  -3.894457        40.35
2023-04-06 23:07:30.120  -4.096290        40.35
2023-04-06 23:07:30.329  -4.247664        40.35
2023-04-06 23:07:30.535  -4.348581        40.35
2023-04-06 23:07:30.730  -4.281303        40.35
2023-04-06 23:07:30.944  -4.550413        40.35
2023-04-06 23:07:31.114  -3.843999        40.35
2023-04-06 23:07:31.321  -3.928096        40.35
2023-04-06 23:07:31.530  -3.961735        40.35
2023-04-06 23:07:31.739  -4.348581        40.35
2023-04-06 23:07:31.946  -4.096290        40.35
2023-04-06 23:07:32.155  -4.214025        40.38
2023-04-06 23:07:32.362  -4.163567        40.35
2023-04-06 23:07:32.571  -4.499955        40.35
2023-04-06 23:07:32.773  -4.230845        40.38
2023-04-06 23:07:32.972  -4.113109        40.38
2023-04-06 23:07:33.189  -4.298122        40.38
2023-04-06 23:07:33.405  -4.197206        40.38
2023-04-06 23:07:33.612  -4.264484        40.38
2023-04-06 23:07:33.819  -4.617691        40.38
2023-04-06 23:07:34.026  -4.247664        40.38
2023-04-06 23:07:34.236  -3.978554        40.38
2023-04-06 23:07:34.443  -4.483136        40.38
2023-04-06 23:07:34.652  -4.197206        40.38
2023-04-06 23:07:34.864  -4.247664        40.38
2023-04-06 23:07:35.037  -4.432678        40.38
2023-04-06 23:07:35.245  -4.584052        40.38
2023-04-06 23:07:35.453  -4.415858        40.35
2023-04-06 23:07:35.661  -4.298122        40.35
2023-04-06 23:07:35.870  -4.499955        40.35
2023-04-06 23:07:36.078  -4.331761        40.35
2023-04-06 23:07:36.286  -4.533594        40.35
