data_ora;rad;temperatura;elevazione;;;;
2023-03-01 03:17:36.823;3360;40.38;40;;;;
2023-03-01 03:17:37.026;3336;40.38;40;;;;
2023-03-01 03:17:37.244;3316;40.38;40;;;;
2023-03-01 03:17:37.448;3312;40.38;40;;;;
2023-03-01 03:17:37.666;3342;40.38;40;;;;
2023-03-01 03:17:37.885;3344;40.38;40;;;;
2023-03-01 03:17:38.088;3362;40.38;40;;;;
2023-03-01 03:17:38.291;3369;40.38;40;;;;
2023-03-01 03:17:38.510;3334;40.38;40;;;;
2023-03-01 03:17:38.682;3354;40.38;40;;;;
2023-03-01 03:17:38.885;3332;40.38;40;;;;
2023-03-01 03:17:39.088;3323;40.38;40;;;;
2023-03-01 03:17:39.291;3332;40.38;40;;;;
2023-03-01 03:17:39.494;3328;40.38;40;;;;
2023-03-01 03:17:39.697;3328;40.38;40;;;;
2023-03-01 03:17:39.916;3337;40.38;40;;;;
2023-03-01 03:17:40.119;3325;40.38;40;;;;
2023-03-01 03:17:40.322;3346;40.38;40;;;;
2023-03-01 03:17:40.541;3327;40.38;40;;;;
2023-03-01 03:17:40.744;3313;40.38;40;;;;
2023-03-01 03:17:40.963;3304;40.38;40;;;;
2023-03-01 03:17:41.166;3303;40.38;40;;;;
2023-03-01 03:17:41.369;3316;40.38;40;;;;
2023-03-01 03:17:41.588;3325;40.38;40;;;;
2023-03-01 03:17:41.807;3300;40.38;40;;;;
2023-03-01 03:17:42.010;3304;40.41;40;;;;
2023-03-01 03:17:42.213;3316;40.41;40;;;;
2023-03-01 03:17:42.432;3322;40.41;40;;;;
2023-03-01 03:17:42.604;3311;40.41;40;;;;
2023-03-01 03:17:42.807;3307;40.41;40;;;;
2023-03-01 03:17:43.010;3318;40.41;40;;;;
2023-03-01 03:17:43.213;3298;40.41;40;;;;
2023-03-01 03:17:43.416;3311;40.41;40;;;;
2023-03-01 03:17:43.635;3312;40.41;40;;;;
2023-03-01 03:17:43.838;3318;40.41;40;;;;
2023-03-01 03:17:44.041;3311;40.41;40;;;;
2023-03-01 03:17:44.244;3304;40.41;40;;;;
2023-03-01 03:17:44.463;3325;40.38;40;;;;
2023-03-01 03:17:44.666;3308;40.38;40;;;;
2023-03-01 03:17:44.869;3330;40.38;40;;;;
2023-03-01 03:17:45.088;3303;40.38;40;;;;
2023-03-01 03:17:45.291;3304;40.41;40;;;;
2023-03-01 03:17:45.510;3324;40.41;40;;;;
2023-03-01 03:17:45.728;3305;40.41;40;;;;
2023-03-01 03:17:45.931;3321;40.41;40;;;;
2023-03-01 03:17:46.135;3307;40.38;40;;;;
2023-03-01 03:17:46.353;3322;40.38;40;;;;
2023-03-01 03:17:46.525;3299;40.38;40;;;;
2023-03-01 03:17:46.728;3302;40.38;40;;;;
2023-03-01 03:17:46.931;3318;40.38;40;;;;
2023-03-01 03:17:47.135;3302;40.38;40;;;;
2023-03-01 03:17:47.338;3309;40.38;40;;;;
2023-03-01 03:17:47.556;3307;40.38;40;;;;
2023-03-01 03:17:47.760;3312;40.38;40;;;;
2023-03-01 03:17:47.963;3298;40.38;40;;;;
2023-03-01 03:17:48.181;3312;40.38;40;;;;
2023-03-01 03:17:48.385;3309;40.38;40;;;;
2023-03-01 03:17:48.588;3304;40.38;40;;;;
2023-03-01 03:17:48.806;3303;40.38;40;;;;
2023-03-01 03:17:49.009;3296;40.38;40;;;;
