rad;T;elevaz;;;
3043;40.29;40;;;
3042;40.29;40;;;
3018;40.29;40;;;
3031;40.29;40;;;
3036;40.29;40;;;
3025;40.29;40;;;
3015;40.29;40;;;
3041;40.29;40;;;
3024;40.29;40;;;
3025;40.29;40;;;
3023;40.29;40;;;
3030;40.29;40;;;
3030;40.29;40;;;
3053;40.29;40;;;
3059;40.29;40;;;
3058;40.32;40;;;
3059;40.32;40;;;
3064;40.32;40;;;
3047;40.32;40;;;
3050;40.32;40;;;
3039;40.32;40;;;
2999;40.32;40;;;
2996;40.32;40;;;
2981;40.32;40;;;
2972;40.32;40;;;
2961;40.32;40;;;
2968;40.32;40;;;
2959;40.32;40;;;
2986;40.32;40;;;
2981;40.35;40;;;
2976;40.32;40;;;
2981;40.35;40;;;
2974;40.35;40;;;
2971;40.35;40;;;
2972;40.35;40;;;
2972;40.35;40;;;
2972;40.35;40;;;
2967;40.35;40;;;
2952;40.35;40;;;
2960;40.35;40;;;
2972;40.35;40;;;
2983;40.35;40;;;
2986;40.35;40;;;
2994;40.35;40;;;
2973;40.35;40;;;
2960;40.35;40;;;
2974;40.35;40;;;
2974;40.35;40;;;
2968;40.35;40;;;
2982;40.35;40;;;
2964;40.35;40;;;
2974;40.35;40;;;
2983;40.35;40;;;
2956;40.35;40;;;
2946;40.35;40;;;
2949;40.35;40;;;
2942;40.35;40;;;
2932;40.35;40;;;
2927;40.35;40;;;
2910;40.35;40;;;
2915;40.35;40;;;
2910;40.35;40;;;
2940;40.35;40;;;
2934;40.35;40;;;
2939;40.35;40;;;
2957;40.35;40;;;
2973;40.35;40;;;
2993;40.35;40;;;
2987;40.35;40;;;
3019;40.35;40;;;
3002;40.35;40;;;
3022;40.35;40;;;
3034;40.35;40;;;
3039;40.35;40;;;
3043;40.35;40;;;
3042;40.35;40;;;
3063;40.35;40;;;
3063;40.35;40;;;
3057;40.35;40;;;
3077;40.35;40;;;
3086;40.35;40;;;
3079;40.35;40;;;
3076;40.35;40;;;
3091;40.38;40;;;
3074;40.38;40;;;
3097;40.38;40;;;
3076;40.35;40;;;
3079;40.38;40;;;
3065;40.35;40;;;
3069;40.35;40;;;
3057;40.35;40;;;
3048;40.35;40;;;
3036;40.35;40;;;
3035;40.35;40;;;
3042;40.38;40;;;
3014;40.35;40;;;
3000;40.35;40;;;
3016;40.35;40;;;
2990;40.35;40;;;
3014;40.35;40;;;
3005;40.35;40;;;
3014;40.35;40;;;
2988;40.35;40;;;
2990;40.35;40;;;
2996;40.35;40;;;
2974;40.35;40;;;
2994;40.35;40;;;
3008;40.35;40;;;
2986;40.35;40;;;
2996;40.35;40;;;
2994;40.35;40;;;
2995;40.35;40;;;
3000;40.35;40;;;
3004;40.35;40;;;
3006;40.35;40;;;
3011;40.35;40;;;
3014;40.35;40;;;
3010;40.35;40;;;
3031;40.35;40;;;
3027;40.35;40;;;
3022;40.35;40;;;
3035;40.35;40;;;
3021;40.35;40;;;
3019;40.32;40;;;
3021;40.32;40;;;
3014;40.32;40;;;
3010;40.32;40;;;
2983;40.32;40;;;
2970;40.32;40;;;
2975;40.32;40;;;
2978;40.32;40;;;
2989;40.32;40;;;
2969;40.32;40;;;
2970;40.32;40;;;
2998;40.32;40;;;
2977;40.32;40;;;
2993;40.32;40;;;
3001;40.32;40;;;
2997;40.32;40;;;
2992;40.32;40;;;
3005;40.32;40;;;
3009;40.32;40;;;
3031;40.32;40;;;
3024;40.32;40;;;
3014;40.32;40;;;
3037;40.32;40;;;
3051;40.32;40;;;
3041;40.32;40;;;
3031;40.32;40;;;
3048;40.32;40;;;
3062;40.32;40;;;
3064;40.32;40;;;
3053;40.32;40;;;
3052;40.32;40;;;
3057;40.29;40;;;
3051;40.29;40;;;
3042;40.29;40;;;
3062;40.29;40;;;
3062;40.29;40;;;
3033;40.29;40;;;
3039;40.29;40;;;
3033;40.29;40;;;
3014;40.29;40;;;
3031;40.29;40;;;
3022;40.29;40;;;
3020;40.29;40;;;
3017;40.29;40;;;
3020;40.29;40;;;
3016;40.29;40;;;
3051;40.29;40;;;
3055;40.26;40;;;
3063;40.26;40;;;
3055;40.29;40;;;
3090;40.29;40;;;
3121;40.29;40;;;
3141;40.29;40;;;
3146;40.26;40;;;
3156;40.26;40;;;
3166;40.26;40;;;
3181;40.26;40;;;
3190;40.26;40;;;
3201;40.26;40;;;
3188;40.26;40;;;
3186;40.26;40;;;
3200;40.26;40;;;
3190;40.26;40;;;
3202;40.26;40;;;
3164;40.26;40;;;
3160;40.26;40;;;
3155;40.26;40;;;
3136;40.26;40;;;
3141;40.26;40;;;
3135;40.26;40;;;
3133;40.26;40;;;
3140;40.26;40;;;
3150;40.26;40;;;
3145;40.26;40;;;
3170;40.26;40;;;
3151;40.26;40;;;
3143;40.26;40;;;
3163;40.26;40;;;
3170;40.26;40;;;
3163;40.26;40;;;
3181;40.26;40;;;
3160;40.22;40;;;
3171;40.22;40;;;
3160;40.22;40;;;
3179;40.22;40;;;
3187;40.22;40;;;
3190;40.22;40;;;
3168;40.22;40;;;
3174;40.22;40;;;
3177;40.22;40;;;
3189;40.22;40;;;
3156;40.22;40;;;
3159;40.22;40;;;
3147;40.22;40;;;
3162;40.22;40;;;
3141;40.22;40;;;
3142;40.22;40;;;
3162;40.22;40;;;
3153;40.22;40;;;
3122;40.22;40;;;
3133;40.22;40;;;
3106;40.22;40;;;
3111;40.22;40;;;
3108;40.22;40;;;
3107;40.22;40;;;
3108;40.22;40;;;
3101;40.22;40;;;
3091;40.22;40;;;
3099;40.22;40;;;
3115;40.22;40;;;
3111;40.22;40;;;
3122;40.22;40;;;
3095;40.22;40;;;
3081;40.22;40;;;
3096;40.22;40;;;
3086;40.22;40;;;
3086;40.22;40;;;
3100;40.26;40;;;
3073;40.22;40;;;
3091;40.26;40;;;
3098;40.26;40;;;
3100;40.26;40;;;
3088;40.26;40;;;
3082;40.26;40;;;
3074;40.26;40;;;
3070;40.26;40;;;
3079;40.26;40;;;
3112;40.26;40;;;
3102;40.26;40;;;
3127;40.26;40;;;
3121;40.26;40;;;
3139;40.26;40;;;
3151;40.26;40;;;
3182;40.26;40;;;
3169;40.26;40;;;
3186;40.26;40;;;
3186;40.26;40;;;
3188;40.26;40;;;
3206;40.26;40;;;
3204;40.26;40;;;
3202;40.26;40;;;
3165;40.26;40;;;
3160;40.26;40;;;
3162;40.26;40;;;
3156;40.26;40;;;
3152;40.26;40;;;
3152;40.26;40;;;
3169;40.29;40;;;
3162;40.29;40;;;
3138;40.29;40;;;
3135;40.29;40;;;
3119;40.29;40;;;
3107;40.29;40;;;
3110;40.29;40;;;
3106;40.29;40;;;
3095;40.29;40;;;
3097;40.29;40;;;
3103;40.29;40;;;
3104;40.29;40;;;
3106;40.29;40;;;
3109;40.29;40;;;
3120;40.29;40;;;
3126;40.29;40;;;
3150;40.29;40;;;
3168;40.29;40;;;
3165;40.29;40;;;
