data;ora;rad;T;elevazione;;;media;dev std;
19/01/2023;02:30:45.924;3602;40.38;20;;;;;
19/01/2023;02:30:46.133;3612;40.38;20;;;;;
19/01/2023;02:30:46.341;3603;40.38;20;;;;;
19/01/2023;02:30:46.552;3648;40.38;20;;;;;
19/01/2023;02:30:46.770;3617;40.38;20;;;;;
19/01/2023;02:30:46.981;3625;40.38;20;;;;;
19/01/2023;02:30:47.190;3630;40.38;20;;;;;
19/01/2023;02:30:47.366;3626;40.38;20;;;;;
19/01/2023;02:30:47.570;3622;40.38;20;;;;;
19/01/2023;02:30:47.770;3612;40.38;20;;;;;
19/01/2023;02:30:47.973;3634;40.38;20;;;;;
19/01/2023;02:30:48.181;3645;40.38;20;;;;;
19/01/2023;02:30:48.390;3637;40.38;20;;;;;
19/01/2023;02:30:48.598;3634;40.38;20;;;;;
19/01/2023;02:30:48.804;3633;40.38;20;;;;;
19/01/2023;02:30:49.015;3629;40.38;20;;;;;
19/01/2023;02:30:49.224;3669;40.35;20;;;;;
19/01/2023;02:30:49.430;3669;40.35;20;;;;;
19/01/2023;02:30:49.639;3672;40.35;20;;;;;
19/01/2023;02:30:49.847;3656;40.35;20;;;;;
19/01/2023;02:30:50.055;3667;40.35;20;;;;;
19/01/2023;02:30:50.264;3664;40.35;20;;;;;
19/01/2023;02:30:50.472;3660;40.35;20;;;;;
19/01/2023;02:30:50.696;3648;40.35;20;;;;;
19/01/2023;02:30:50.894;3647;40.35;20;;;;;
19/01/2023;02:30:51.111;3649;40.35;20;;;;;
19/01/2023;02:30:51.320;3640;40.35;20;;;;;
19/01/2023;02:30:51.491;3642;40.35;20;;;;;
19/01/2023;02:30:51.686;3652;40.35;20;;;;;
19/01/2023;02:30:51.895;3648;40.35;20;;;;;
19/01/2023;02:30:52.098;3656;40.35;20;;;;;
19/01/2023;02:30:52.312;3656;40.35;20;;;;;
19/01/2023;02:30:52.519;3658;40.35;20;;;;;
19/01/2023;02:30:52.727;3655;40.35;20;;;;;
19/01/2023;02:30:52.934;3653;40.35;20;;;;;
19/01/2023;02:30:53.144;3649;40.35;20;;;;;
19/01/2023;02:30:53.352;3653;40.35;20;;;;;
19/01/2023;02:30:53.560;3621;40.35;20;;;;;
19/01/2023;02:30:53.768;3628;40.35;20;;;;;
19/01/2023;02:30:53.976;3630;40.35;20;;;;;
19/01/2023;02:30:54.184;3612;40.35;20;;;;;
19/01/2023;02:30:54.392;3627;40.35;20;;;;;
19/01/2023;02:30:54.601;3634;40.35;20;;;;;
