rad;T;elevazione;;media;dev std
3116;40.29;30;;;
3118;40.29;30;;;
3102;40.29;30;;;
3118;40.29;30;;;
3130;40.29;30;;;
3122;40.29;30;;;
3126;40.29;30;;;
3135;40.29;30;;;
3126;40.29;30;;;
3130;40.29;30;;;
3125;40.29;30;;;
3140;40.29;30;;;
3133;40.29;30;;;
3140;40.29;30;;;
3136;40.29;30;;;
3124;40.29;30;;;
3133;40.29;30;;;
3146;40.29;30;;;
3128;40.29;30;;;
3123;40.29;30;;;
3117;40.29;30;;;
3125;40.29;30;;;
3121;40.29;30;;;
3109;40.32;30;;;
3134;40.32;30;;;
3128;40.32;30;;;
3143;40.29;30;;;
3135;40.29;30;;;
3126;40.29;30;;;
3114;40.29;30;;;
3119;40.32;30;;;
3116;40.32;30;;;
3125;40.32;30;;;
3124;40.32;30;;;
3120;40.32;30;;;
3112;40.29;30;;;
3103;40.32;30;;;
3095;40.32;30;;;
3108;40.32;30;;;
3085;40.32;30;;;
3093;40.32;30;;;
3096;40.32;30;;;
3103;40.32;30;;;
3080;40.32;30;;;
3089;40.32;30;;;
3102;40.32;30;;;
3107;40.32;30;;;
3072;40.32;30;;;
3097;40.32;30;;;
3086;40.32;30;;;
3102;40.32;30;;;
3092;40.32;30;;;
3112;40.32;30;;;
3103;40.32;30;;;
3111;40.32;30;;;
3121;40.32;30;;;
3123;40.32;30;;;
3113;40.32;30;;;
3142;40.32;30;;;
3136;40.32;30;;;
3143;40.32;30;;;
3148;40.32;30;;;
3127;40.32;30;;;
3147;40.32;30;;;
3131;40.32;30;;;
3129;40.32;30;;;
3117;40.32;30;;;
3140;40.32;30;;;
3116;40.32;30;;;
3134;40.32;30;;;
3129;40.32;30;;;
3119;40.32;30;;;
3120;40.32;30;;;
3119;40.32;30;;;
3099;40.32;30;;;
3112;40.32;30;;;
3116;40.32;30;;;
3140;40.32;30;;;
3115;40.32;30;;;
3121;40.32;30;;;
3130;40.32;30;;;
3120;40.32;30;;;
3121;40.32;30;;;
3132;40.32;30;;;
3143;40.32;30;;;
3109;40.32;30;;;
3119;40.32;30;;;
3125;40.32;30;;;
3122;40.32;30;;;
3131;40.32;30;;;
3138;40.32;30;;;
3125;40.32;30;;;
3138;40.32;30;;;
3145;40.32;30;;;
3161;40.32;30;;;
3144;40.32;30;;;
3166;40.32;30;;;
3174;40.32;30;;;
3167;40.32;30;;;
3188;40.32;30;;;
3174;40.32;30;;;
3185;40.32;30;;;
3189;40.32;30;;;
3165;40.32;30;;;
3193;40.32;30;;;
3176;40.32;30;;;
3192;40.32;30;;;
3179;40.32;30;;;
3184;40.32;30;;;
3200;40.32;30;;;
3179;40.32;30;;;
3179;40.32;30;;;
3159;40.32;30;;;
3195;40.32;30;;;
3179;40.32;30;;;
3177;40.32;30;;;
3193;40.32;30;;;
3186;40.32;30;;;
3199;40.29;30;;;
3201;40.32;30;;;
3201;40.29;30;;;
3204;40.29;30;;;
3205;40.29;30;;;
3192;40.29;30;;;
3192;40.29;30;;;
3189;40.29;30;;;
3194;40.29;30;;;
3188;40.29;30;;;
3181;40.29;30;;;
3203;40.29;30;;;
3190;40.29;30;;;
3200;40.29;30;;;
3178;40.29;30;;;
3170;40.29;30;;;
3180;40.29;30;;;
3167;40.29;30;;;
3186;40.29;30;;;
3184;40.29;30;;;
3182;40.29;30;;;
3198;40.29;30;;;
3204;40.29;30;;;
3204;40.29;30;;;
3201;40.29;30;;;
3225;40.29;30;;;
3193;40.29;30;;;
3211;40.29;30;;;
3217;40.29;30;;;
3204;40.29;30;;;
3231;40.29;30;;;
3213;40.29;30;;;
3195;40.29;30;;;
3197;40.29;30;;;
3186;40.29;30;;;
3201;40.29;30;;;
3198;40.29;30;;;
3198;40.29;30;;;
3184;40.29;30;;;
3194;40.29;30;;;
3175;40.29;30;;;
3189;40.29;30;;;
3200;40.29;30;;;
3200;40.29;30;;;
3196;40.29;30;;;
3198;40.26;30;;;
3208;40.26;30;;;
3188;40.26;30;;;
3179;40.26;30;;;
3184;40.26;30;;;
3165;40.26;30;;;
3164;40.26;30;;;
3166;40.26;30;;;
3176;40.26;30;;;
3165;40.26;30;;;
3158;40.26;30;;;
3147;40.26;30;;;
3149;40.26;30;;;
3155;40.26;30;;;
3141;40.26;30;;;
3152;40.26;30;;;
3144;40.26;30;;;
3147;40.26;30;;;
3139;40.26;30;;;
3145;40.26;30;;;
3139;40.26;30;;;
3152;40.26;30;;;
3167;40.26;30;;;
3144;40.26;30;;;
3161;40.26;30;;;
3174;40.26;30;;;
3175;40.26;30;;;
3151;40.26;30;;;
3174;40.26;30;;;
3180;40.26;30;;;
3162;40.26;30;;;
3164;40.26;30;;;
3171;40.26;30;;;
3163;40.26;30;;;
3167;40.26;30;;;
3186;40.26;30;;;
3172;40.26;30;;;
3152;40.26;30;;;
3153;40.26;30;;;
3168;40.26;30;;;
3161;40.26;30;;;
3147;40.26;30;;;
3170;40.26;30;;;
3179;40.26;30;;;
3177;40.26;30;;;
3176;40.26;30;;;
3184;40.26;30;;;
3179;40.26;30;;;
3191;40.26;30;;;
3175;40.26;30;;;
3164;40.26;30;;;
3165;40.26;30;;;
3172;40.26;30;;;
3165;40.26;30;;;
3174;40.29;30;;;
3159;40.29;30;;;
3158;40.29;30;;;
3178;40.29;30;;;
3161;40.29;30;;;
3172;40.29;30;;;
3183;40.29;30;;;
3174;40.29;30;;;
3165;40.29;30;;;
