               data_ora        rad  temperatura elevazione
2023-03-27 01:44:32.229 -28.462677        40.35         50
2023-03-27 01:44:32.438 -28.513132        40.35         50
2023-03-27 01:44:32.646 -28.950411        40.35         50
2023-03-27 01:44:32.861 -28.866319        40.35         50
2023-03-27 01:44:33.079 -29.000866        40.35         50
2023-03-27 01:44:33.286 -28.883137        40.35         50
2023-03-27 01:44:33.495 -29.488600        40.35         50
2023-03-27 01:44:33.703 -29.236323        40.35         50
2023-03-27 01:44:33.911 -29.084958        40.35         50
2023-03-27 01:44:34.120 -29.236323        40.35         50
2023-03-27 01:44:34.327 -29.169050        40.35         50
2023-03-27 01:44:34.550 -29.202687        40.35         50
2023-03-27 01:44:34.728 -29.354052        40.35         50
2023-03-27 01:44:34.934 -29.421326        40.35         50
2023-03-27 01:44:35.129 -29.858605        40.35         50
2023-03-27 01:44:35.338 -29.740876        40.35         50
2023-03-27 01:44:35.544 -29.724057        40.35         50
2023-03-27 01:44:35.751 -30.110881        40.35         50
2023-03-27 01:44:35.950 -29.555873        40.35         50
2023-03-27 01:44:36.153 -30.178154        40.35         50
2023-03-27 01:44:36.362 -30.548159        40.35         50
2023-03-27 01:44:36.571 -30.918164        40.35         50
2023-03-27 01:44:36.778 -30.531341        40.35         50
2023-03-27 01:44:36.998 -30.615433        40.35         50
2023-03-27 01:44:37.210 -31.019075        40.35         50
2023-03-27 01:44:37.419 -30.800435        40.35         50
2023-03-27 01:44:37.626 -30.548159        40.35         50
2023-03-27 01:44:37.835 -30.934983        40.35         50
2023-03-27 01:44:38.043 -30.649070        40.35         50
2023-03-27 01:44:38.252 -30.632251        40.35         50
2023-03-27 01:44:38.459 -30.615433        40.35         50
2023-03-27 01:44:38.635 -30.867709        40.35         50
2023-03-27 01:44:38.843 -30.817254        40.35         50
2023-03-27 01:44:39.051 -31.473172        40.35         50
2023-03-27 01:44:39.260 -31.321806        40.35         50
2023-03-27 01:44:39.468 -30.985438        40.35         50
2023-03-27 01:44:39.671 -30.934983        40.35         50
2023-03-27 01:44:39.868 -30.716343        40.35         50
2023-03-27 01:44:40.075 -30.413612        40.35         50
2023-03-27 01:44:40.283 -29.690420        40.35         50
2023-03-27 01:44:40.492 -29.808149        40.35         50
2023-03-27 01:44:40.702 -30.228610        40.35         50
2023-03-27 01:44:40.915 -30.329520        40.35         50
2023-03-27 01:44:41.134 -30.480886        40.35         50
2023-03-27 01:44:41.341 -31.035893        40.35         50
2023-03-27 01:44:41.548 -30.329520        40.35         50
2023-03-27 01:44:41.756 -29.589510        40.35         50
2023-03-27 01:44:41.966 -29.303597        40.38         50
2023-03-27 01:44:42.173 -29.253142        40.35         50
2023-03-27 01:44:42.398 -29.539055        40.35         50
2023-03-27 01:44:42.559 -30.077244        40.35         50
2023-03-27 01:44:42.767 -31.204077        40.35         50
2023-03-27 01:44:42.974 -31.574082        40.38         50
2023-03-27 01:44:43.184 -32.263637        40.35         50
2023-03-27 01:44:43.392 -32.398184        40.35         50
2023-03-27 01:44:43.591 -33.558654        40.38         50
2023-03-27 01:44:43.792 -34.063206        40.38         50
2023-03-27 01:44:44.000 -33.676383        40.35         50
2023-03-27 01:44:44.208 -33.844567        40.38         50
2023-03-27 01:44:44.416 -33.272741        40.35         50
2023-03-27 01:44:44.623 -33.205468        40.35         50
2023-03-27 01:44:44.843 -32.768189        40.35         50
2023-03-27 01:44:45.057 -33.020465        40.38         50
2023-03-27 01:44:45.265 -33.508199        40.38         50
2023-03-27 01:44:45.474 -33.642746        40.38         50
2023-03-27 01:44:45.682 -33.491380        40.38         50
2023-03-27 01:44:45.889 -33.945477        40.38         50
2023-03-27 01:44:46.097 -33.962296        40.38         50
2023-03-27 01:44:46.273 -33.440925        40.38         50
2023-03-27 01:44:46.483 -33.777293        40.38         50
2023-03-27 01:44:46.691 -33.558654        40.38         50
2023-03-27 01:44:46.898 -32.314092        40.38         50
2023-03-27 01:44:47.107 -32.011361        40.38         50
2023-03-27 01:44:47.313 -32.515913        40.38         50
2023-03-27 01:44:47.512 -31.977724        40.38         50
2023-03-27 01:44:47.716 -32.213182        40.38         50
2023-03-27 01:44:47.923 -32.028179        40.38         50
2023-03-27 01:44:48.131 -31.708629        40.38         50
2023-03-27 01:44:48.339 -32.532731        40.35         50
2023-03-27 01:44:48.548 -32.852281        40.35         50
2023-03-27 01:44:48.760 -33.087739        40.38         50
2023-03-27 01:44:48.978 -33.121376        40.35         50
2023-03-27 01:44:49.189 -34.029570        40.38         50
2023-03-27 01:44:49.397 -33.424107        40.35         50
2023-03-27 01:44:49.606 -33.104557        40.35         50
2023-03-27 01:44:49.813 -33.087739        40.35         50
2023-03-27 01:44:50.022 -33.390470        40.35         50
2023-03-27 01:44:50.197 -33.340015        40.35         50
2023-03-27 01:44:50.406 -32.818644        40.35         50
2023-03-27 01:44:50.613 -32.919555        40.35         50
2023-03-27 01:44:50.823 -32.549550        40.35         50
2023-03-27 01:44:51.031 -32.415002        40.35         50
2023-03-27 01:44:51.233 -32.465458        40.35         50
2023-03-27 01:44:51.431 -31.691811        40.35         50
2023-03-27 01:44:51.640 -32.061816        40.35         50
2023-03-27 01:44:51.847 -32.263637        40.35         50
2023-03-27 01:44:52.056 -32.280455        40.35         50
2023-03-27 01:44:52.262 -32.230000        40.35         50
2023-03-27 01:44:52.488 -32.600005        40.35         50
2023-03-27 01:44:52.696 -32.330910        40.35         50
2023-03-27 01:44:52.903 -32.028179        40.35         50
2023-03-27 01:44:53.114 -32.129090        40.35         50
2023-03-27 01:44:53.321 -31.893632        40.35         50
2023-03-27 01:44:53.538 -32.785007        40.35         50
2023-03-27 01:44:53.738 -32.347729        40.38         50
2023-03-27 01:44:53.945 -33.054102        40.38         50
2023-03-27 01:44:54.121 -31.994542        40.38         50
2023-03-27 01:44:54.329 -31.321806        40.38         50
2023-03-27 01:44:54.537 -30.951801        40.38         50
2023-03-27 01:44:54.746 -31.304988        40.35         50
2023-03-27 01:44:54.953 -31.389080        40.38         50
2023-03-27 01:44:55.153 -31.691811        40.35         50
2023-03-27 01:44:55.354 -31.254532        40.35         50
2023-03-27 01:44:55.571 -31.237714        40.35         50
2023-03-27 01:44:55.771 -30.733162        40.35         50
2023-03-27 01:44:55.979 -31.103167        40.35         50
2023-03-27 01:44:56.186 -31.624537        40.35         50
2023-03-27 01:44:56.393 -31.389080        40.35         50
2023-03-27 01:44:56.603 -31.321806        40.35         50
2023-03-27 01:44:56.823 -31.254532        40.35         50
2023-03-27 01:44:57.036 -31.170440        40.35         50
2023-03-27 01:44:57.243 -31.405898        40.35         50
2023-03-27 01:44:57.452 -31.069530        40.35         50
2023-03-27 01:44:57.660 -30.531341        40.35         50
2023-03-27 01:44:57.868 -30.363157        40.35         50
2023-03-27 01:44:58.044 -29.993152        40.35         50
2023-03-27 01:44:58.252 -29.993152        40.35         50
2023-03-27 01:44:58.460 -29.757694        40.35         50
2023-03-27 01:44:58.669 -30.178154        40.35         50
2023-03-27 01:44:58.874 -29.707239        40.35         50
2023-03-27 01:44:59.073 -30.430430        40.35         50
2023-03-27 01:44:59.278 -31.103167        40.35         50
2023-03-27 01:44:59.486 -31.590900        40.38         50
2023-03-27 01:44:59.695 -31.523627        40.38         50
2023-03-27 01:44:59.903 -31.574082        40.38         50
2023-03-27 01:45:00.111 -30.598614        40.38         50
2023-03-27 01:45:00.318 -30.026789        40.38         50
2023-03-27 01:45:00.532 -29.522236        40.38         50
2023-03-27 01:45:00.748 -29.539055        40.38         50
2023-03-27 01:45:00.959 -29.253142        40.38         50
2023-03-27 01:45:01.166 -29.673602        40.38         50
2023-03-27 01:45:01.374 -29.505418        40.38         50
2023-03-27 01:45:01.584 -30.026789        40.38         50
2023-03-27 01:45:01.792 -29.286779        40.38         50
2023-03-27 01:45:01.968 -29.858605        40.38         50
2023-03-27 01:45:02.177 -30.060425        40.38         50
2023-03-27 01:45:02.384 -30.077244        40.35         50
2023-03-27 01:45:02.593 -29.757694        40.38         50
2023-03-27 01:45:02.795 -29.320416        40.35         50
2023-03-27 01:45:02.993 -28.714953        40.38         50
2023-03-27 01:45:03.200 -28.075853        40.38         50
2023-03-27 01:45:03.410 -27.907669        40.38         50
2023-03-27 01:45:03.616 -27.537664        40.38         50
2023-03-27 01:45:03.840 -27.722667        40.38         50
2023-03-27 01:45:04.050 -27.117204        40.38         50
2023-03-27 01:45:04.258 -26.730381        40.38         50
2023-03-27 01:45:04.450 -26.427649        40.38         50
2023-03-27 01:45:04.666 -27.049931        40.38         50
2023-03-27 01:45:04.882 -27.386299        40.38         50
2023-03-27 01:45:05.090 -28.008580        40.38         50
2023-03-27 01:45:05.300 -28.580406        40.38         50
2023-03-27 01:45:05.508 -29.000866        40.38         50
2023-03-27 01:45:05.716 -29.253142        40.38         50
2023-03-27 01:45:05.892 -28.933592        40.38         50
2023-03-27 01:45:06.100 -28.496314        40.38         50
2023-03-27 01:45:06.309 -28.546769        40.38         50
2023-03-27 01:45:06.516 -28.832682        40.38         50
2023-03-27 01:45:06.715 -28.698134        40.35         50
2023-03-27 01:45:06.917 -28.815863        40.38         50
2023-03-27 01:45:07.125 -29.219505        40.38         50
2023-03-27 01:45:07.332 -28.765408        40.38         50
2023-03-27 01:45:07.542 -28.731771        40.38         50
2023-03-27 01:45:07.750 -28.143127        40.38         50
2023-03-27 01:45:07.958 -28.210401        40.38         50
2023-03-27 01:45:08.166 -27.638575        40.38         50
2023-03-27 01:45:08.375 -28.378585        40.38         50
2023-03-27 01:45:08.592 -28.361766        40.38         50
2023-03-27 01:45:08.807 -27.117204        40.38         50
2023-03-27 01:45:09.015 -27.806759        40.38         50
2023-03-27 01:45:09.223 -27.655393        40.38         50
2023-03-27 01:45:09.429 -27.890851        40.38         50
2023-03-27 01:45:09.638 -27.907669        40.38         50
2023-03-27 01:45:09.815 -28.227219        40.38         50
2023-03-27 01:45:10.024 -28.614042        40.38         50
2023-03-27 01:45:10.232 -28.664498        40.38         50
2023-03-27 01:45:10.435 -27.974943        40.38         50
2023-03-27 01:45:10.635 -27.571301        40.38         50
2023-03-27 01:45:10.839 -28.344948        40.38         50
2023-03-27 01:45:11.048 -27.874033        40.38         50
2023-03-27 01:45:11.252 -27.991761        40.38         50
2023-03-27 01:45:11.464 -28.210401        40.38         50
2023-03-27 01:45:11.673 -28.092672        40.38         50
2023-03-27 01:45:11.881 -28.731771        40.35         50
2023-03-27 01:45:12.089 -28.479495        40.35         50
2023-03-27 01:45:12.297 -28.731771        40.38         50
2023-03-27 01:45:12.510 -28.950411        40.38         50
2023-03-27 01:45:12.727 -28.630861        40.38         50
2023-03-27 01:45:12.938 -28.210401        40.38         50
2023-03-27 01:45:13.146 -27.604938        40.38         50
2023-03-27 01:45:13.354 -27.184478        40.38         50
2023-03-27 01:45:13.562 -27.554483        40.38         50
2023-03-27 01:45:13.737 -27.890851        40.38         50
2023-03-27 01:45:13.947 -27.655393        40.38         50
2023-03-27 01:45:14.155 -28.328130        40.38         50
2023-03-27 01:45:14.357 -28.429040        40.38         50
2023-03-27 01:45:14.555 -28.496314        40.38         50
2023-03-27 01:45:14.763 -28.933592        40.38         50
2023-03-27 01:45:14.971 -29.320416        40.38         50
2023-03-27 01:45:15.179 -29.017684        40.38         50
2023-03-27 01:45:15.402 -29.387689        40.38         50
2023-03-27 01:45:15.596 -29.555873        40.38         50
2023-03-27 01:45:15.805 -29.488600        40.38         50
2023-03-27 01:45:16.013 -29.152231        40.38         50
2023-03-27 01:45:16.221 -29.337234        40.38         50
2023-03-27 01:45:16.438 -29.084958        40.38         50
2023-03-27 01:45:16.644 -28.580406        40.38         50
2023-03-27 01:45:16.860 -28.378585        40.38         50
2023-03-27 01:45:17.070 -28.529950        40.38         50
2023-03-27 01:45:17.278 -29.135413        40.38         50
2023-03-27 01:45:17.487 -28.933592        40.38         50
2023-03-27 01:45:17.663 -28.883137        40.38         50
2023-03-27 01:45:17.871 -29.202687        40.38         50
2023-03-27 01:45:18.079 -28.647679        40.38         50
2023-03-27 01:45:18.278 -28.681316        40.38         50
2023-03-27 01:45:18.479 -28.815863        40.38         50
2023-03-27 01:45:18.688 -27.705848        40.38         50
2023-03-27 01:45:18.896 -28.059035        40.38         50
