rad;T;elevaz;;media;dev std
2850;40.35;45;;;
2878;40.35;45;;;
2850;40.35;45;;;
2853;40.35;45;;;
2850;40.35;45;;;
2860;40.35;45;;;
2852;40.35;45;;;
2851;40.35;45;;;
2872;40.35;45;;;
2893;40.35;45;;;
2904;40.35;45;;;
2906;40.35;45;;;
2908;40.35;45;;;
2913;40.35;45;;;
2901;40.35;45;;;
2897;40.35;45;;;
2877;40.35;45;;;
2878;40.35;45;;;
2882;40.35;45;;;
2873;40.32;45;;;
2870;40.32;45;;;
2876;40.32;45;;;
2881;40.32;45;;;
2871;40.32;45;;;
2878;40.32;45;;;
2880;40.32;45;;;
2864;40.32;45;;;
2885;40.32;45;;;
2886;40.32;45;;;
2885;40.32;45;;;
2883;40.32;45;;;
2908;40.32;45;;;
2905;40.32;45;;;
2924;40.32;45;;;
2919;40.32;45;;;
2918;40.32;45;;;
2922;40.29;45;;;
2898;40.29;45;;;
2891;40.29;45;;;
2904;40.29;45;;;
2900;40.29;45;;;
2882;40.29;45;;;
2893;40.29;45;;;
2884;40.29;45;;;
2870;40.29;45;;;
2872;40.29;45;;;
2870;40.29;45;;;
2876;40.29;45;;;
2850;40.29;45;;;
2866;40.29;45;;;
2868;40.29;45;;;
2857;40.29;45;;;
2862;40.29;45;;;
2889;40.29;45;;;
2884;40.29;45;;;
2889;40.29;45;;;
2877;40.29;45;;;
2897;40.29;45;;;
2864;40.29;45;;;
2876;40.26;45;;;
2876;40.26;45;;;
2877;40.26;45;;;
2864;40.26;45;;;
2874;40.26;45;;;
2878;40.26;45;;;
2867;40.26;45;;;
2866;40.26;45;;;
2872;40.26;45;;;
2859;40.26;45;;;
2888;40.26;45;;;
2878;40.26;45;;;
2864;40.26;45;;;
2872;40.26;45;;;
2873;40.26;45;;;
2861;40.26;45;;;
2851;40.22;45;;;
2869;40.22;45;;;
2855;40.22;45;;;
2862;40.22;45;;;
2842;40.22;45;;;
2837;40.22;45;;;
2828;40.22;45;;;
2843;40.22;45;;;
2819;40.22;45;;;
2824;40.22;45;;;
2839;40.22;45;;;
2837;40.22;45;;;
2821;40.22;45;;;
2822;40.22;45;;;
2822;40.22;45;;;
2834;40.22;45;;;
2850;40.22;45;;;
2864;40.22;45;;;
2863;40.22;45;;;
2859;40.22;45;;;
2889;40.22;45;;;
2886;40.22;45;;;
2910;40.22;45;;;
2923;40.22;45;;;
2926;40.22;45;;;
2932;40.22;45;;;
2932;40.22;45;;;
2942;40.22;45;;;
2951;40.22;45;;;
2945;40.22;45;;;
2956;40.22;45;;;
2959;40.22;45;;;
2951;40.22;45;;;
2943;40.22;45;;;
2928;40.22;45;;;
2936;40.22;45;;;
2925;40.22;45;;;
2917;40.22;45;;;
2913;40.22;45;;;
2902;40.22;45;;;
2911;40.22;45;;;
2878;40.22;45;;;
2893;40.22;45;;;
2895;40.22;45;;;
2886;40.22;45;;;
2888;40.22;45;;;
2887;40.22;45;;;
2871;40.22;45;;;
2875;40.22;45;;;
2881;40.22;45;;;
2856;40.22;45;;;
2864;40.22;45;;;
2863;40.22;45;;;
2852;40.22;45;;;
2850;40.22;45;;;
2862;40.22;45;;;
2829;40.26;45;;;
2819;40.26;45;;;
2835;40.26;45;;;
2816;40.26;45;;;
2798;40.26;45;;;
2792;40.22;45;;;
2793;40.26;45;;;
2769;40.26;45;;;
2796;40.26;45;;;
2804;40.26;45;;;
2795;40.26;45;;;
2799;40.26;45;;;
2815;40.26;45;;;
2796;40.26;45;;;
2819;40.26;45;;;
2819;40.26;45;;;
2827;40.26;45;;;
2825;40.26;45;;;
2849;40.26;45;;;
2840;40.26;45;;;
2830;40.26;45;;;
2850;40.26;45;;;
2845;40.26;45;;;
2832;40.26;45;;;
2837;40.26;45;;;
2835;40.26;45;;;
2841;40.26;45;;;
2842;40.26;45;;;
2844;40.26;45;;;
2848;40.26;45;;;
2832;40.26;45;;;
2808;40.26;45;;;
2828;40.26;45;;;
2829;40.29;45;;;
2831;40.29;45;;;
2836;40.29;45;;;
2835;40.29;45;;;
2837;40.29;45;;;
2856;40.29;45;;;
2859;40.29;45;;;
2858;40.29;45;;;
2844;40.29;45;;;
2829;40.29;45;;;
2838;40.29;45;;;
2826;40.29;45;;;
2831;40.29;45;;;
2835;40.29;45;;;
2853;40.29;45;;;
2840;40.32;45;;;
2841;40.32;45;;;
2833;40.32;45;;;
2836;40.32;45;;;
2820;40.32;45;;;
2827;40.32;45;;;
2816;40.32;45;;;
2813;40.32;45;;;
2796;40.32;45;;;
2814;40.32;45;;;
2820;40.32;45;;;
2820;40.32;45;;;
2802;40.32;45;;;
2806;40.32;45;;;
2826;40.32;45;;;
2839;40.32;45;;;
2850;40.32;45;;;
2865;40.32;45;;;
2870;40.32;45;;;
2855;40.32;45;;;
2860;40.32;45;;;
2852;40.32;45;;;
2856;40.32;45;;;
2871;40.35;45;;;
2849;40.32;45;;;
2856;40.35;45;;;
2863;40.35;45;;;
2854;40.35;45;;;
2859;40.35;45;;;
2858;40.35;45;;;
2869;40.35;45;;;
2839;40.35;45;;;
2830;40.35;45;;;
2845;40.35;45;;;
2839;40.35;45;;;
2822;40.35;45;;;
2829;40.35;45;;;
2833;40.35;45;;;
2817;40.35;45;;;
2841;40.35;45;;;
2844;40.35;45;;;
2853;40.38;45;;;
2857;40.38;45;;;
2852;40.38;45;;;
2864;40.38;45;;;
2860;40.38;45;;;
2860;40.38;45;;;
2870;40.38;45;;;
2845;40.38;45;;;
2858;40.38;45;;;
2846;40.38;45;;;
2857;40.38;45;;;
2854;40.38;45;;;
2852;40.38;45;;;
2848;40.38;45;;;
2853;40.38;45;;;
2864;40.38;45;;;
2852;40.38;45;;;
2829;40.38;45;;;
2827;40.38;45;;;
2800;40.38;45;;;
2794;40.38;45;;;
2776;40.38;45;;;
2794;40.38;45;;;
2782;40.38;45;;;
2782;40.38;45;;;
2796;40.38;45;;;
2814;40.38;45;;;
2811;40.38;45;;;
2807;40.38;45;;;
2803;40.38;45;;;
2828;40.38;45;;;
2822;40.38;45;;;
2832;40.38;45;;;
2819;40.38;45;;;
2842;40.38;45;;;
2833;40.38;45;;;
2843;40.38;45;;;
2834;40.38;45;;;
2854;40.38;45;;;
2854;40.38;45;;;
2830;40.38;45;;;
2827;40.38;45;;;
2827;40.38;45;;;
2813;40.38;45;;;
2806;40.38;45;;;
2805;40.38;45;;;
2798;40.38;45;;;
2790;40.38;45;;;
2770;40.38;45;;;
2776;40.38;45;;;
2771;40.38;45;;;
2777;40.38;45;;;
2768;40.38;45;;;
2787;40.38;45;;;
2775;40.38;45;;;
2777;40.38;45;;;
2792;40.38;45;;;
2787;40.38;45;;;
2787;40.38;45;;;
2807;40.38;45;;;
2808;40.38;45;;;
2799;40.38;45;;;
2790;40.38;45;;;
2784;40.38;45;;;
2763;40.38;45;;;
2760;40.35;45;;;
2774;40.35;45;;;
2766;40.35;45;;;
2768;40.35;45;;;
2766;40.35;45;;;
2762;40.35;45;;;
2772;40.35;45;;;
2756;40.35;45;;;
2763;40.35;45;;;
2772;40.35;45;;;
2758;40.35;45;;;
2764;40.35;45;;;
2765;40.35;45;;;
2763;40.35;45;;;
2773;40.35;45;;;
2751;40.35;45;;;
2766;40.35;45;;;
2787;40.35;45;;;
2784;40.35;45;;;
2784;40.35;45;;;
2775;40.35;45;;;
2769;40.32;45;;;
2772;40.32;45;;;
2777;40.32;45;;;
2752;40.32;45;;;
2774;40.32;45;;;
2776;40.32;45;;;
2763;40.35;45;;;
2772;40.32;45;;;
2768;40.32;45;;;
2779;40.32;45;;;
2783;40.32;45;;;
2769;40.32;45;;;
2771;40.32;45;;;
2769;40.32;45;;;
2771;40.32;45;;;
2781;40.32;45;;;
2763;40.32;45;;;
2767;40.32;45;;;
2783;40.32;45;;;
2770;40.32;45;;;
2766;40.32;45;;;
2794;40.32;45;;;
2777;40.32;45;;;
2794;40.32;45;;;
2798;40.32;45;;;
2828;40.32;45;;;
2808;40.32;45;;;
2821;40.32;45;;;
2836;40.32;45;;;
2822;40.32;45;;;
2820;40.32;45;;;
2844;40.32;45;;;
2822;40.32;45;;;
2818;40.32;45;;;
2807;40.32;45;;;
2795;40.29;45;;;
2821;40.29;45;;;
2821;40.29;45;;;
2847;40.29;45;;;
2836;40.29;45;;;
2857;40.29;45;;;
2871;40.29;45;;;
2857;40.29;45;;;
2851;40.29;45;;;
2864;40.29;45;;;
2843;40.29;45;;;
2852;40.29;45;;;
2851;40.29;45;;;
2850;40.29;45;;;
2869;40.29;45;;;
2888;40.29;45;;;
2881;40.29;45;;;
2886;40.26;45;;;
2903;40.26;45;;;
2892;40.26;45;;;
2890;40.29;45;;;
2891;40.26;45;;;
2897;40.26;45;;;
2899;40.26;45;;;
2908;40.26;45;;;
2922;40.26;45;;;
2917;40.26;45;;;
2911;40.26;45;;;
2900;40.26;45;;;
2894;40.26;45;;;
2865;40.26;45;;;
2869;40.22;45;;;
2894;40.22;45;;;
2882;40.22;45;;;
2881;40.22;45;;;
2865;40.22;45;;;
2877;40.22;45;;;
2863;40.22;45;;;
2871;40.22;45;;;
2896;40.22;45;;;
2880;40.22;45;;;
2865;40.22;45;;;
2875;40.22;45;;;
2879;40.22;45;;;
2886;40.22;45;;;
2911;40.22;45;;;
2912;40.22;45;;;
2888;40.22;45;;;
2898;40.22;45;;;
2903;40.22;45;;;
2896;40.22;45;;;
2883;40.22;45;;;
2877;40.22;45;;;
2880;40.22;45;;;
