elevazione;T;elevazione;;media;dev std
2890;40.29;30;;;
2878;40.32;30;;;
2881;40.29;30;;;
2880;40.29;30;;;
2870;40.29;30;;;
2880;40.29;30;;;
2885;40.29;30;;;
2888;40.29;30;;;
2898;40.29;30;;;
2905;40.29;30;;;
2907;40.29;30;;;
2917;40.29;30;;;
2924;40.29;30;;;
2937;40.29;30;;;
2954;40.29;30;;;
2938;40.29;30;;;
2932;40.29;30;;;
2933;40.29;30;;;
2944;40.29;30;;;
2939;40.29;30;;;
2931;40.29;30;;;
2933;40.29;30;;;
2941;40.29;30;;;
2945;40.32;30;;;
2983;40.32;30;;;
3001;40.32;30;;;
2983;40.32;30;;;
3004;40.32;30;;;
3009;40.32;30;;;
