rad;temperatura;elevazione;;;
3763;40.32;25;;;
3756;40.32;25;;;
3773;40.32;25;;;
3780;40.32;25;;;
3772;40.32;25;;;
3795;40.32;25;;;
3796;40.32;25;;;
3782;40.32;25;;;
3789;40.32;25;;;
3789;40.32;25;;;
3776;40.32;25;;;
3783;40.32;25;;;
3805;40.32;25;;;
3786;40.32;25;;;
3798;40.32;25;;;
3820;40.32;25;;;
3816;40.32;25;;;
3821;40.32;25;;;
3824;40.32;25;;;
3823;40.32;25;;;
3814;40.32;25;;;
3784;40.32;25;;;
3811;40.32;25;;;
3805;40.32;25;;;
3809;40.32;25;;;
3822;40.32;25;;;
3822;40.32;25;;;
3819;40.32;25;;;
3811;40.32;25;;;
3812;40.32;25;;;
3796;40.32;25;;;
3812;40.32;25;;;
3789;40.32;25;;;
3795;40.32;25;;;
3796;40.32;25;;;
3806;40.29;25;;;
3785;40.29;25;;;
3782;40.29;25;;;
3776;40.29;25;;;
3747;40.29;25;;;
3760;40.29;25;;;
3767;40.29;25;;;
3742;40.29;25;;;
3748;40.29;25;;;
3762;40.29;25;;;
3727;40.29;25;;;
3721;40.29;25;;;
3718;40.29;25;;;
3720;40.29;25;;;
3717;40.29;25;;;
3715;40.29;25;;;
3726;40.29;25;;;
3696;40.29;25;;;
3686;40.29;25;;;
3672;40.29;25;;;
3663;40.29;25;;;
3665;40.29;25;;;
3671;40.29;25;;;
3687;40.29;25;;;
3647;40.29;25;;;
3658;40.29;25;;;
3651;40.26;25;;;
3654;40.26;25;;;
3651;40.26;25;;;
3689;40.26;25;;;
3669;40.26;25;;;
3688;40.26;25;;;
3680;40.26;25;;;
3690;40.29;25;;;
3688;40.29;25;;;
3682;40.26;25;;;
3676;40.29;25;;;
3708;40.29;25;;;
3699;40.29;25;;;
3706;40.29;25;;;
3706;40.29;25;;;
3708;40.26;25;;;
3708;40.26;25;;;
3687;40.26;25;;;
3693;40.26;25;;;
3664;40.26;25;;;
3683;40.26;25;;;
3689;40.26;25;;;
3688;40.29;25;;;
3688;40.26;25;;;
3709;40.26;25;;;
3701;40.26;25;;;
3709;40.26;25;;;
3729;40.29;25;;;
3753;40.29;25;;;
3779;40.29;25;;;
3797;40.29;25;;;
3786;40.29;25;;;
3792;40.29;25;;;
3796;40.29;25;;;
3802;40.29;25;;;
3810;40.26;25;;;
3809;40.29;25;;;
3808;40.29;25;;;
3812;40.29;25;;;
3783;40.26;25;;;
3790;40.26;25;;;
3783;40.29;25;;;
3772;40.29;25;;;
3779;40.29;25;;;
3794;40.29;25;;;
3779;40.29;25;;;
3773;40.29;25;;;
3786;40.29;25;;;
3762;40.29;25;;;
3767;40.29;25;;;
3757;40.29;25;;;
3777;40.26;25;;;
3793;40.29;25;;;
3786;40.26;25;;;
3783;40.26;25;;;
3785;40.29;25;;;
3778;40.29;25;;;
3780;40.29;25;;;
3783;40.29;25;;;
3781;40.29;25;;;
3789;40.29;25;;;
3805;40.29;25;;;
3813;40.29;25;;;
3842;40.29;25;;;
3820;40.29;25;;;
3835;40.29;25;;;
3840;40.29;25;;;
3868;40.29;25;;;
3845;40.29;25;;;
3846;40.29;25;;;
3849;40.29;25;;;
3847;40.29;25;;;
3827;40.29;25;;;
3810;40.29;25;;;
3818;40.29;25;;;
3809;40.29;25;;;
